From: Nov 27 2025,To: Jan 26 2026,Report Date: Jan 26 2026,Report Time: 15:23 PST,,,,,,,,,,,,
Date,Bank ID,Account Number,Account Title,Entity,Tran Type,BAI Type Code,Currency,Credit Amount,Debit Amount,Bank Ref #,End to End ID,Customer Ref #,Description,Reason for Payment,Notes
01/26/2026,121140399,3304334669,AR Account,"PERPLEXITY AI, INC.",Miscellaneous ACH Credit,169,USD,"4,161.35",,,,0,WebBank Receivable,,
01/26/2026,121140399,3304334669,AR Account,"PERPLEXITY AI, INC.",WIRE TRANSFER CREDIT,195,USD,"2,423.24",,,,,WIRE IN 2026026001329300,"PUPQRZ-00010;/BNF/INTEGRATED HOLDING GROUP, LP.",
01/23/2026,121140399,3304334669,AR Account,"PERPLEXITY AI, INC.",ZERO BAL TRF DEBIT,575,USD,,"34,879.88",6,,0,SWEEP TO DDA 003304430509,,
01/23/2026,121140399,3304334669,AR Account,"PERPLEXITY AI, INC.",ACH CREDIT,169,USD,"29,752.48",,3,,,"ALIXPARTNERS, LL 1001519926 US0220000003302 PERPLEXITY AI, INC.",,
01/23/2026,121140399,3304334669,AR Account,"PERPLEXITY AI, INC.",ACH CREDIT,169,USD,"4,421.86",,6,,,IPG DXTRA INC EDI PAYMNT 6000523502US126 Perplexity,REF*TN*6000523502*OUR REFERENCE /REF/6000523502US126,
01/23/2026,121140399,3304334669,AR Account,"PERPLEXITY AI, INC.",ACH CREDIT,169,USD,491.29,,4,,,"BC, INC. 1004279326 26US01200000286 PERPLEXITY AI, INC.",RMR*IV*C3F2F5D5-0005**491.29*491.29,
01/23/2026,121140399,3304334669,AR Account,"PERPLEXITY AI, INC.",ACH CREDIT,169,USD,214.25,,2,,,STATE OF MONTANA MT30999 012111410A66020 PERPLEXITY AI INC,,
01/22/2026,121140399,3304334669,AR Account,"PERPLEXITY AI, INC.",ZERO BAL TRF DEBIT,575,USD,,"19,676.56",6,,0,SWEEP TO DDA 003304430509,,
01/22/2026,121140399,3304334669,AR Account,"PERPLEXITY AI, INC.",WIRE TRANSFER CREDIT,195,USD,"3,312.00",,400,,,WIRE IN 260122MMQFMPYZ0012152026022000019100;ORG NATIONAL HEART FOUNDATION OF NEW ZE ;OBI,"F47ABB5A-0027, F47ABB5A-0028",
01/22/2026,121140399,3304334669,AR Account,"PERPLEXITY AI, INC.",ACH CREDIT,169,USD,"15,000.00",,1,,,"Perplexity Suppl SHOPIFY Y7F0B0Q7M7S3 Perplexity AI,",,
01/22/2026,121140399,3304334669,AR Account,"PERPLEXITY AI, INC.",ACH CREDIT,169,USD,"1,301.99",,3,,,FREEMAN CORPORAT AP PAYMENT Perplexity AI Inc,TXP***000000**0000046524,
01/22/2026,121140399,3304334669,AR Account,"PERPLEXITY AI, INC.",ACH CREDIT,169,USD,62.57,,1,,,"Walker & Dunlop, Coupa Pay 19101271 Perplexity AI Inc",NTE*OBI*Coupa Pay 2922-72465 Walker  Dunlop Inc Tmate,
01/21/2026,121140399,3304334669,AR Account,"PERPLEXITY AI, INC.",ZERO BAL TRF DEBIT,575,USD,,"19,318.43",6,,0,SWEEP TO DDA 003304430509,,
01/21/2026,121140399,3304334669,AR Account,"PERPLEXITY AI, INC.",WIRE TRANSFER CREDIT,195,USD,"19,318.43",,11296,,,WIRE IN 260121B1Q8021C0119712026021000873000;ORG BALYASNY ASSET MANAGEMENT LP ;OBI LILSNY,LILSNY00012LILSNY00014LILSNY00,
01/20/2026,121140399,3304334669,AR Account,"PERPLEXITY AI, INC.",ZERO BAL TRF DEBIT,575,USD,,"163,221.82",6,,0,SWEEP TO DDA 003304430509,,
01/20/2026,121140399,3304334669,AR Account,"PERPLEXITY AI, INC.",WIRE TRANSFER DEBIT,495,USD,,2.98,19665,,,"WIRE OUT 260120L1B77D1C0037272026020001523000;BNF NSKNOX TECHNOLOGIES, INC;OBI ACCOUNT VA",Account validation penny test,
01/20/2026,121140399,3304334669,AR Account,"PERPLEXITY AI, INC.",ACH DEBIT,469,USD,,0.10,2257,,,"Paymode-X PMX TEST F224809376 Perplexity AI, Inc.",,
01/20/2026,121140399,3304334669,AR Account,"PERPLEXITY AI, INC.",ACH CREDIT,169,USD,"30,420.72",,14,,,"Scale AI, Inc. Coupa Pay 19020823 Perplexity AI Inc",NTE*OBI*Coupa Pay 1505-29675 Scale AI Inc Tmate,
01/20/2026,121140399,3304334669,AR Account,"PERPLEXITY AI, INC.",ACH CREDIT,169,USD,"23,815.10",,2,,,"MCK CO, INC. US 1013851221 0900013638 PERPLEXITY AI INC",RMR*IK*RHBULN0001320251201,
01/20/2026,121140399,3304334669,AR Account,"PERPLEXITY AI, INC.",ACH CREDIT,169,USD,"9,248.18",,1,,,"AMAZON.COM SERVI PAYMENTS FCS003484278962 PERPLEXITY AI, INC.",,
01/20/2026,121140399,3304334669,AR Account,"PERPLEXITY AI, INC.",ACH CREDIT,169,USD,2.98,,1,,,"NSKNOX TECHNOLOG PAYMENTS Perplexity AI, Inc.",,
01/20/2026,121140399,3304334669,AR Account,"PERPLEXITY AI, INC.",MOBILE DEPOSIT,301,USD,"5,653.22",,883,,0,MOBILE DEPOSIT,,
01/20/2026,121140399,3304334669,AR Account,"PERPLEXITY AI, INC.",FX Wire Transfer Credit,214,USD,"94,084.70",,0,,,FX 244066997000001 GBP 70974.16 RATE: 1.325619FSS-9088,FSS-9088,
01/16/2026,121140399,3304334669,AR Account,"PERPLEXITY AI, INC.",ZERO BAL TRF DEBIT,575,USD,,"59,240.60",6,,0,SWEEP TO DDA 003304430509,,
01/16/2026,121140399,3304334669,AR Account,"PERPLEXITY AI, INC.",WIRE TRANSFER CREDIT,195,USD,691.23,,13014,,,WIRE IN 260116MMQFMP2N0190642026016000998400;ORG ORENNIA INC. ;OBI INV48,INV48,
